kartez,family,genus.old,genus.new,species.old,species.new,taxon.old,taxon.new,life_cycle,life_form,native,path,g_f,apgf,a_p,avg.height_A,avg.height_B,avg.height_C,avg.height_F,avg.height_G,avg.height_P,max.height_A,max.height_B,max.height_C,max.height_F,max.height_G,max.height_P,p95.height_A,p95.height_B,p95.height_C,p95.height_F,p95.height_G,p95.height_P,ldmc,sla,lma,area,d15N,d13C,pN,pC,cn,sdmc,rdmc,sdens,rdens,fr.diam,fr.dmc,fr.srl,fr.dens,seed_mass,F_A_BM_acor,F_A_BM_cv,F_B_BM_acor,F_B_BM_cv,F_C_BM_acor,F_C_BM_cv,F_F_BM_acor,F_F_BM_cv,F_G_BM_acor,F_G_BM_cv,F_P_BM_acor,F_P_BM_cv
DABR,Fabaceae,Dalea,Dalea,brachystachya,brachystachya,Dalea_brachystachya,Dalea_brachystachya,ab,H,y,C3,f,a_f,0,9.6713,NA,NA,NA,NA,9.6713,20,NA,NA,NA,NA,20,17,NA,NA,NA,NA,17,0.1778,36.0098,0.0279,0.2439,-2.4432,-28.5354,2.9775,46.044,15.5914,0.3032,0.2761,0.0012,0.0012,0.049,0.0795,0.0798,59.7822,1.0018,-0.12190141061298372,3.0795723709170386,NA,NA,NA,NA,NA,NA,NA,NA,-0.12190141061298372,3.0795723709170386
DAPU7,Poaceae,Dasyochloa,Erioneuron,pulchella,pulchellum,Dasyochloa_pulchella,Erioneuron_pulchellum,p,G,y,C4,g,p_g,1,2.8261,2.7839,2.6868,2.8261,3.5225,NA,15,10,15,15,12,NA,8,8,7.9,8,9,NA,0.378,25.682,0.0398,0.1175,0.0124,-15.6547,1.055,43.2351,41.7245,0.3171,0.2662,0.0023,0.0022,0.0396,0.177,0.2247,194.8347,0.2008,-0.0048592176706339,2.283427477134216,0.03209853857664958,2.6788183436285107,-0.0172086435735987,2.0288757264687756,-0.0048592176706339,2.283427477134216,-0.02933823164122269,2.6686803405939745,NA,NA
DRGL5,Caryophyllaceae,Drymaria,Drymaria,glandulosa,glandulosa,Drymaria_glandulosa,Drymaria_glandulosa,a,H,y,C3,f,a_f,0,5.4162,NA,NA,NA,NA,5.4162,48,NA,NA,NA,NA,48,15,NA,NA,NA,NA,15,0.1654,97.1814,0.0109,0.2091,0.3098,-27.6977,2.2626,44.8722,20.5637,0.1102,0.1311,0.0011,8e-4,0.0355,0.1146,0.0307,73.2009,0.0742,-0.08188585071566153,2.305743897692155,NA,NA,NA,NA,NA,NA,NA,NA,-0.08188585071566153,2.305743897692155
ELEL5,Poaceae,Elymus,Elymus,elymoides,elymoides,Elymus_elymoides,Elymus_elymoides,p,G,y,C3,g,p_g,1,6.1653,18,27.5714,26.9333,NA,4.8283,46,18,46,46,NA,32,32,18,42.15,41.8,NA,29.5,0.3311,19.5707,0.052,1.5576,2.1451,-29.5366,1.3674,46.1471,34.2249,0.35,0.3729,0.0015,4e-4,NA,NA,NA,NA,1.8664,-0.03184141530644069,2.9596839620874613,-0.07619047619047613,3.8729833462074175,-0.06659501921536262,2.8686634939391635,-0.06979350487373379,3.2034367780285815,NA,NA,-0.02370882468487788,2.907451215814364
ENDE,Poaceae,Enneapogon,Enneapogon,desvauxii,desvauxii,Enneapogon_desvauxii,Enneapogon_desvauxii,p,G,y,C4,g,p_g,1,7.263,6.5976,7,7.2261,9.3867,20,28,28,12,28,25,20,19.15,18,12,18.2,21.05,20,0.3696,37.1727,0.0292,0.3634,2.0561,-14.3587,1.2777,45.0172,35.269,0.3923,0.1786,0.0011,0.0014,0.045,0.0763,0.1052,117.6658,0.2079,-0.10318971864298442,3.278640605587042,-0.13220685395929316,2.976771692843843,-0.07304418335450463,3.6230094588021946,-0.1043635987496152,3.2527996168644173,-0.07564281006202483,3.4330161655350286,-0.07619047619047618,3.872983346207417
EPTO,Ephedraceae,Ephedra,Ephedra,torreyana,torreyana,Ephedra_torreyana,Ephedra_torreyana,p,ss/S,y,C3,s,p_s,1,20.28,NA,NA,20.28,20.28,NA,31,NA,NA,31,31,NA,29.8,NA,NA,29.8,29.8,NA,0.4683,2.9813,NA,0.8709,2.2578,-24.8517,1.2283,47.3625,38.7659,0.5106,NA,7e-4,NA,NA,NA,NA,NA,4.6503,0.30598165495706475,2.1844340249439407,-0.00476190476190475,3.872983346207417,NA,NA,0.30598165495706475,2.1844340249439407,0.6167252146760343,0.4958847036804647,NA,NA
ERAB2,Polygonaceae,Eriogonum,Eriogonum,abertianum,abertianum,Eriogonum_abertianum,Eriogonum_abertianum,a,H,y,C3,f,a_f,0,10.6667,12,8,10.6667,NA,NA,12,12,8,12,NA,NA,12,12,8,12,NA,NA,0.1602,27.5651,0.0366,0.2666,3.8741,-29.6087,1.9261,40.3341,21.0087,0.3525,0.3672,6e-4,5e-4,0.0358,0.0816,0.1179,153.7277,0.2382,-0.02664138826262211,3.693162211749452,-0.07619047619047617,3.872983346207417,0.02290769966523194,3.513341077291487,-0.02664138826262211,3.693162211749452,NA,NA,NA,NA
ERCI,Poaceae,Eragrostis,Eragrostis,cilianensis,cilianensis,Eragrostis_cilianensis,Eragrostis_cilianensis,a,G,n,C4,g,a_g,0,6.8564,8.0616,NA,8.0616,NA,3.2653,34,34,NA,34,NA,20,22.4,24.4,NA,24.4,NA,18.2,0.2262,67.7797,0.015,0.4358,4.056,-15.5074,2.694,44.5739,16.9106,0.1108,0.4135,0.0013,0.0012,0.0452,0.106,0.0941,100.9204,0.6556,-0.0946707698881612,3.3656189187655645,-0.09368551542464588,3.291134453138828,NA,NA,-0.09368551542464588,3.291134453138828,NA,NA,-0.09696969696969696,3.5394160052279497
ERWR,Polygonaceae,Eriogonum,Eriogonum,wrightii,wrightii,Eriogonum_wrightii,Eriogonum_wrightii,p,S/ss/H,y,C3,s,p_s,1,5.4416,7.2727,NA,7.2727,NA,4.7091,36,36,NA,36,NA,18,18,28.3,NA,28.3,NA,11.6,0.284,17.8181,0.0579,0.3281,-0.0117,-29.1541,1.8064,46.4175,27.2943,0.399,0.4765,8e-4,7e-4,NA,NA,NA,NA,0.752,0.06445989054185797,3.1048019394313964,NA,NA,NA,NA,NA,NA,NA,NA,0.06445989054185797,3.1048019394313964
EUEX4,Euphorbiaceae,Euphorbia,Euphorbia,exstipulata,exstipulata,Euphorbia_exstipulata,Euphorbia_exstipulata,a,H,y,C3,f,a_f,0,10.0429,8.6389,8.3729,10.1414,10.8509,5.2245,27,23,19,27,27,16,18,17,16.1,18,19,14.6,0.164,33.2782,0.0304,0.5884,1.7725,-28.4628,2.4043,44.4046,18.8994,0.2412,0.2447,5e-4,6e-4,NA,NA,NA,NA,2.7431,-0.08601095221211592,3.176834899836128,-0.1161126015683706,2.9692211859287556,-0.12760691303704377,3.1431646055454245,-0.09176228086626773,3.02327061472576,-0.04389358492990083,3.047926839568176,-0.06537383174721832,3.727859687585095
