code,kartez,site,lf_sum_area,lf_n_pieces,lf_whole_ind,lf_wet_mass,lf_dry_mass,lf_petiole_ind,mass,d15N,d13C,pN,pC,cn,stm_wet,stm_len,stm_d1,stm_d2,rt_wet,rt_len,rt_d1,rt_d2,stm_dry1,stm_dry2,rt_dry1,rt_dry2,length,diam.95%,volume,wet,dry,seed_mass_sum,seed_n
341,ASNU4,PJ,0.364,10,TRUE,0.0553,0.0126,FALSE,2.939,-0.48531250000000004,-28.708624999999998,4.41250501460323,45.076286639954816,10.215577430682659,NA,NA,NA,NA,0.0333,9.3,1.2,1.2,NA,NA,0.0079,0.0072,NA,NA,NA,NA,NA,NA,NA
342,MUTO2,PJ,0.1859,10,TRUE,0.0198,0.0106,FALSE,NA,NA,NA,NA,NA,NA,0.0129,16.4,0.2,0.5,0.0107,72.6,0.3,0.2,0.0054,0.0049,0.0047,0.0047,NA,NA,NA,NA,NA,NA,NA
343,MUTO2,PJ,0.2284,10,TRUE,0.0223,0.0112,FALSE,3.114,-0.40847142857142815,-15.977714285714285,1.4650704763846139,45.91385132382766,31.33900523142768,0.0057,11.1,0.3,0.4,0.0064,36,0.3,0.1,0.0029,0.0025,0.0031,0.0031,NA,NA,NA,NA,NA,0.96,6
344,MUTO2,PJ,0.2302,10,TRUE,0.0227,0.0109,FALSE,3.278,-1.580471428571428,-16.064714285714285,1.2303265718586966,46.08814861872482,37.46009366366677,0.0078,15.5,0.1,0.4,0.0084,65.9,0.1,0.1,0.0023,0.0023,0.003,0.003,NA,NA,NA,NA,NA,NA,NA
345,MUTO2,PJ,0.17880000000000001,10,TRUE,0.0188,0.0082,FALSE,NA,NA,NA,NA,NA,NA,0.0056,11.3,0.5,0.1,0.0026,22.6,0.1,0.1,0.0025,0.002,0.0013,0.001,NA,NA,NA,NA,NA,NA,NA
346,MUTO2,PJ,0.1947,10,TRUE,0.024,0.0115,FALSE,3.08,-0.5684714285714282,-15.969714285714286,1.2334642253922392,44.5783928638065,36.14080728578136,0.0095,15.9,0.3,0.3,0.0134,42,0.3,0.2,0.0039,0.0039,0.0047,0.0047,NA,NA,NA,NA,NA,NA,NA
347,MUTO2,PJ,0.1996,10,TRUE,0.021,0.0099,FALSE,NA,NA,NA,NA,NA,NA,0.0073,10.9,0.4,0.1,0.0028,20.1,0.3,0.2,0.0032,0.0029,0.0019,0.0015,NA,NA,NA,NA,NA,0.853,4
348,POHA5,PJ,0.0982,5,TRUE,0.0387,0.0016,FALSE,NA,NA,NA,NA,NA,NA,0.0099,21.1,0.3,0.1,NA,NA,NA,NA,0.0011,9e-4,NA,NA,NA,NA,NA,NA,NA,0.256,5
349,CHSE7,PJ,0.3788,10,TRUE,0.0445,0.0092,TRUE,NA,NA,NA,NA,NA,NA,0.0106,25.8,0.4,0.4,0.0033,20.7,0.4,0.1,0.0035,0.0035,9e-4,8e-4,NA,NA,NA,NA,NA,NA,NA
350,ERWR,PJ,0.3635,5,TRUE,0.0705,0.0159,FALSE,3.197,2.479,-28.866428571428575,2.4290060939160627,43.78168254637929,18.02452560989426,0.3144,27.6,3,3.2,0.6029,36.5,3.5,4.4,0.1509,0.1509,0.2743,0.2734,NA,NA,NA,NA,NA,NA,NA
351,ERWR,PJ,0.4072,5,TRUE,0.0819,0.022,FALSE,3.273,-1.2429999999999999,-29.527428571428572,1.544461706207926,49.202943822697264,31.857665117190823,0.0447,20.4,1.2,1.4,0.4582,27.6,4,3.3,0.0215,0.0214,0.2301,0.2296,NA,NA,NA,NA,NA,NA,NA
