"kartez","family","genus.old","genus.new","species.old","species.new","taxon.old","taxon.new","life_cycle","life_form","native","path","a_p","g_f","apgf","avg.height_A","avg.height_B","avg.height_C","avg.height_F","avg.height_G","avg.height_P","max.height_A","max.height_B","max.height_C","max.height_F","max.height_G","max.height_P","p95.height_A","p95.height_B","p95.height_C","p95.height_F","p95.height_G","p95.height_P","ldmc","sla","lma","area","d15N","d13C","pN","pC","cn","sdmc","rdmc","sdens","rdens","fr.diam","fr.dmc","fr.srl","fr.dens","seed_mass"
"HENA","Lamiaceae","Hedeoma","Hedeoma","nana","nana","Hedeoma_nana","Hedeoma_nana","ap","H","y","C3","p","f","p_f",8.8947,NA,NA,NA,NA,8.8947,37,NA,NA,NA,NA,37,28.8,NA,NA,NA,NA,28.8,0.2747,29.5749,0.0356,0.5324,-0.0213,-30.6471,1.568,50.2375,32.8741,0.2735,0.3313,0.001,5e-04,0.0338,0.0732,0.0527,89.1023,0.1177
"HEPI2","Asteraceae","Heterosperma","Heterosperma","pinnatum","pinnatum","Heterosperma_pinnatum","Heterosperma_pinnatum","a","H","y",NA,"a","f","a_f",13.6571,NA,NA,NA,NA,13.6571,55,NA,NA,NA,NA,55,35,NA,NA,NA,NA,35,0.1117,50.1895,0.0202,0.4109,-2.475,-29.7508,2.2329,44.0775,20.2353,0.2421,0.2992,7e-04,0.0011,0.0308,0.0773,0.0449,73.674,0.7983
"HODR","Fabaceae","Hoffmannseggia","Hoffmannseggia","drepanocarpa","drepanocarpa","Hoffmannseggia_drepanocarpa","Hoffmannseggia_drepanocarpa","p","ss/H","y","C3","p","f","p_f",5.6776,4.2593,4.9009,5.6776,5.9705,NA,23,8,12,23,23,NA,11,7.75,10,11,12,NA,0.3239,24.813,0.0408,0.2536,1.3114,-28.0891,2.0165,46.759,23.7281,0.3274,0.4607,9e-04,6e-04,0.0325,0.0572,0.1255,238.3799,5.6493
"HYFIC","Asteraceae","Hymenopappus","Hymenopappus","filifolius","filifolius","Hymenopappus_filifolius","Hymenopappus_filifolius","p","ss/H","y","C3","p","f","p_f",4.1024,3.5676,NA,4.1024,7.8125,NA,36,34,NA,36,36,NA,32,26.6,NA,32,30,NA,0.1496,28.8882,0.0363,1.4414,1.265,-29.2297,1.571,47.6054,34.6004,0.2724,0.2371,4e-04,3e-04,0.0831,0.086,0.2629,57.4746,1.0313
"IPCO2","Convolvulaceae","Ipomoea","Ipomoea","costellata","costellata","Ipomoea_costellata","Ipomoea_costellata","a","V/H","y","C3","a","f","a_f",5.3661,5.4658,NA,5.4658,NA,3.0714,22,19,NA,19,NA,22,13,13,NA,13,NA,10.3,0.1579,37.1152,0.0275,1.1211,2.0928,-27.3754,2.9526,47.4704,19.1815,0.2605,0.2319,8e-04,8e-04,NA,NA,NA,NA,NA
"IPPU4","Polemoniaceae","Ipomopsis","Ipomopsis","pumila","pumila","Ipomopsis_pumila","Ipomopsis_pumila","a","H","y","C3","a","f","a_f",1.1923,NA,1.1923,1.1923,NA,NA,3,NA,3,3,NA,NA,3,NA,3,3,NA,NA,0.1564,21.7913,0.0461,0.2646,3.5314,-27.7486,2.1754,43.9419,20.4301,0.2413,0.3153,3e-04,4e-04,NA,NA,NA,NA,0.2408
"KAPA","Zygophyllaceae","Kallstroemia","Kallstroemia","parviflora","parviflora","Kallstroemia_parviflora","Kallstroemia_parviflora","a","H","y","C4","a","f","a_f",7.9319,8.1379,5.1692,7.8677,8.1429,8.2086,40,25,17,40,40,26,23,17,13,23,24,21.5,0.2117,39.5726,0.0271,0.3652,4.5657,-15.7664,1.6903,44.6391,29.4482,0.1585,0.2447,2e-04,4e-04,0.0381,0.0738,0.0351,59.2662,2.3972
"LAOCO","Boraginaceae","Lappula","Lappula","occidentalis","occidentalis","Lappula_occidentalis","Lappula_occidentalis","ab","H","y","C3","a","f","a_f",1.703,NA,1.9848,1.9848,NA,1.0303,7,NA,7,7,NA,2,4,NA,4.3,4.3,NA,1.55,0.194,37.6608,0.0269,0.3542,5.8598,-28.6926,2.0956,39.6904,20.9211,0.2922,0.2488,3e-04,3e-04,NA,NA,NA,NA,0.9886
"LATR2","Zygophyllaceae","Larrea","Larrea","tridentata","tridentata","Larrea_tridentata","Larrea_tridentata","p","S","y","C3","p","s","p_s",18.3856,NA,18.4022,18.3856,17.3876,NA,146,NA,114,146,146,NA,60,NA,60,60,86.5,NA,0.3649,16.2641,0.0615,0.4166,6.1391,-26.2074,2.8997,49.1576,16.9569,0.6217,0.5074,7e-04,6e-04,0.0261,0.0481,0.0329,120.5202,4.7099
"LEFE","Brassicaceae","Physaria","Physaria","fendleri","fendleri","Physaria_fendleri","Physaria_fendleri","p","H","y","C3","p","f","p_f",3.0299,NA,2.9924,3.0299,4.8657,NA,20,NA,20,20,11,NA,10,NA,10,10,10,NA,0.2681,17.4911,0.0584,0.2863,1.8086,-27.179,2.1113,39.3591,22.659,0.3917,0.4162,6e-04,6e-04,0.032,0.0585,0.0275,57.0489,0.505
